Application_date_cl,Area_acre_cl,Area_km2_cl,Award_date_cl,Code/Ref,Commodity_cl,Company_Name_cl,Department,Expiry_date_cl,License_type_cl,Year,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl
,171.56,,2000-04-01,2/97(6.3.1997),Pearl,"Myanmar Tasaki Co.,Ltd",,2020-03-31,Foreign,2016-17,,Tanintharyi,Domel Island ,,
,45.64,,2000-11-30,2/98(10.2.1998),Pearl,"Myanmar Atlantic Co.,Ltd",,2020-11-29,Foreign,2016-17,,Tanintharyi,Elphinstone,,
,81.11,,2002-02-01,11/98(17.8.1998),Pearl,"Myanmar Andman Co., Ltd",,2022-01-31,Foreign,2016-17,,Tanintharyi,St Luke's ,,
,31.24,,2016-10-29,25/15(7.9.2015),Pearl,"Belpearl Myanmar Co., Ltd",,2031-10-28,Foreign,2016-17,,Tanintharyi,Russell and Zardatnge,,
,23.31,,2000-03-03,11/2000(3.3.2000),Pearl,"Nino Pearl Culturing Co.,Ltd",,2020-03-02,Local,2016-17,,Tanintharyi,Sir.E Owen Island,,
,58.4,,2000-01-20,4/2000(20.1.2000),Pearl,"Orient Pearl Co.,Ltd (Zinyaw)",,2020-01-19,Local,2016-17,,Tanintharyi,Zinyaw Kyun,,
,24.28,,2014-02-14,01/2014(30.1.2014),Pearl,"Orient Pearl Co.,Ltd (Jalan)",,2029-02-13,Local,2016-17,,Tanintharyi,Jalan Kyun,,
,100.13,,2015-09-09,25/2015(7.9.2015),Pearl,"Annawar Pearl  Co., Ltd",,2030-09-08,Local,2016-17,,Tanintharyi,Drakes Island,,
,32.8,,2016-02-03,03/2016(3.2.2016),Pearl,"Pyae Sone Htet Myint Co.,Ltd",,2031-02-02,Local,2016-17,,Tanintharyi,Parsons Island,,
,51.3,,2016-02-03,04/2016(30.1.2016),Pearl,"Aquagold Myanmar Co.,Ltd",,2031-02-02,Local,2016-17,,Tanintharyi,Mali Island,,
,35,,2016-02-10,05/2016(15.2.2016),Pearl,"Pyae Phyo Tun Co.,Ltd",,2031-02-02,Local,2016-17,,Tanintharyi,Bentinck Island,,