Code/Ref,License holder,Type of License,Date of application,PSC ratio,Date of award,Expiry date,Commodity ,Area (Km2),Location (Region),Coordinates of the license area
0218/2014,"Golden Moon Light Co.,:Ltd",production,,50:50,26.3.2014,25.3.2015,Gold,0.0809,Sagaing,
0130/2014,"Golden Valley International Development Co.,Ltd",production,,50:50,2.4.2014,1.4.2015,Gold,0.0809,Sagaing,
0129/2014,"Golden Valley International Development Co.,Ltd",production,,50:50,26.3.2014,25.3.2015,Gold,0.0809,Sagaing,
0046/2015,"Golden Valley International Development Co.,Ltd",production,,50:50,4.2.2015,3.2.2016,Gold,0.0809,Sagaing,
0047/2015,"Golden Valley International Development Co.,Ltd",production,,50:50,4.2.2015,3.2.2016,Gold,0.0809,Sagaing,
0048/2015,"Golden Valley International Development Co.,Ltd",production,,50:50,4.2.2015,3.2.2016,Gold,0.0809,Sagaing,
0049/2015,"Golden Valley International Development Co.,Ltd",production,,50:50,4.2.2015,3.2.2016,Gold,0.0809,Sagaing,
0258/2014,"Shwe Kyar San Co., Ltd",production,,50:50,9.10.2014,8.10.2015,Gold,0.0809,Sagaing,
0005/2013,"Shwe Kyar San Co., Ltd",production,,50:50,28.12.2013,27.12.2015,Gold,0.0809,Sagaing,
0160/2014,"Aung Pyae Pyae Phyo Co.,Ltd",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Sagaing,
0058/2013,"Shinn Thant Aung Myin Mining Co., Ltd",production,,50:50,13.3.2013,12.3.2016,Gold,0.0809,Sagaing,
0067/2014,"Shinn Thant Aung Myin Mining Co., Ltd",production,,50:50,13.3.2013,12.3.2016,Gold,0.0809,Sagaing,
0222/2014,"Shinn Thant Aung Myin Mining Co., Ltd",production,,50:50,19.8.2014,18.8.2015,Gold,0.0809,Sagaing,
0259/2014,"Shinn Thant Aung Myin Mining Co., Ltd",production,,50:50,9.10.2014,8.10.2015,Gold,0.0809,Sagaing,
0070/2013,"Natural Gold Mining &Production Co., Ltd",production,,50:50,22.4.2013,21.4.2015,Gold,0.0809,Sagaing,
0133/2014,"Natural Gold Mining &Production Co., Ltd",production,,50:50,23.4.2014,22.4.2015,Gold,0.0809,Sagaing,
0148/2013,"Shwe Ma Haw Mining Co., Ltd",production,,50:50,12.7.2013,11.7.2015,Gold,0.0809,Sagaing,
0241/2014,"Shwe Ma Haw Mining Co., Ltd",production,,50:50,17.9.2014,16.9.2015,Gold,0.0809,Sagaing,
0144/2013,"Southern Banner Co., Ltd",production,,50:50,30.7.2013,29.7.2015,Gold,0.0809,Sagaing,
0145/2013,"Southern Banner Co., Ltd",production,,50:50,30.7.2013,29.7.2015,Gold,0.0809,Sagaing,
0197/2014,"Shwe Min Gyi Mining Co.,Ltd",production,,50:50,18.6.2014,17.6.2015,Gold,0.0809,Sagaing,
0236/2014,"Shwe Min Gyi Mining Co.,Ltd",production,,50:50,27.8.2014,26.8.2015,Gold,0.0809,Sagaing,
0025/2015,"Shwe Min Gyi Mining Co.,Ltd",production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Sagaing,
0026/2015,"Shwe Min Gyi Mining Co.,Ltd",production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Sagaing,
0134/2013,"Myit Phyar Tharlar Waddy Co., Ltd",production,,50:50,19.6.2013,18.6.2015,Gold,0.0809,Sagaing,
0135/2013,"Myit Phyar Tharlar Waddy Co., Ltd",production,,50:50,19.6.2013,18.6.2015,Gold,0.0809,Sagaing,
0118/2014,"Myit Phyar Tharlar Waddy Co., Ltd",production,,50:50,4.3.2014,3.3.2016,Gold,0.0809,Sagaing,
0163/2013,"Kaung Kin Kyei Sin Mining Co., Ltd",production,,50:50,29.8.2013,28.8.2015,Gold,0.0809,Sagaing,
0021/2014,"Kaung Kin Kyei Sin Mining Co., Ltd",production,,50:50,30.12.2014,29.12.2015,Gold,0.0809,Sagaing,
0022/2014,"Kaung Kin Kyei Sin Mining Co., Ltd",production,,50:50,30.12.2014,29.12.2015,Gold,0.0809,Sagaing,
0206/2014,"Kaung Kin Kyei Sin Mining Co., Ltd",production,,50:50,2.7.2014,1.7.2015,Gold,0.0809,Sagaing,
0083/2013,"Shwe Sin San Myint Mining Co., Ltd",production,,50:50,22.4.2013,21.4.2015,Gold,0.0809,Sagaing,
0060/2014,"Shwe Uru Aung Mining Co., Ltd ",production,,50:50,13.2.2014,12.2.2016,Gold,0.0809,Sagaing,
0105/2014,"Shwe Htay Bamar Mining Co., Ltd",production,,50:50,2.4.2014,1.4.2015,Gold,0.0809,Sagaing,
0052/2015,"Shwe Htay Bamar Mining Co., Ltd",production,,50:50,4.2.2015,3.2.2016,Gold,0.0809,Sagaing,
0204/2014,"Swan Htet Win Co., Ltd",production,,50:50,25.6.2014,24.6.2015,Gold,0.0809,Sagaing,
0029/2014,"Chindwin Shwe Group Co., Ltd",production,,50:50,15.1.2014,14.1.2016,Gold,0.0809,Sagaing,
0085/2014,"Htet Yadanar Tun Co., Ltd",production,,50:50,4.3.2014,3.3.2016,Gold,0.0809,Sagaing,
0198/2014,"Shwe Toe Tat Wai Kyaw Co., Ltd",production,,50:50,18.6.2014,17.6.2015,Gold,0.0809,Sagaing,
0269/2014,"Shwe Toe Tat Wai Kyaw Co., Ltd",production,,50:50,30.10.2014,29.10.2015,Gold,0.0809,Sagaing,
0156/2014,"Thein Hlyan Shwe Sin Mining  Co., Ltd ",production,,50:50,30.4.2014,29.4.2015,Gold,0.0809,Sagaing,
0260/2014,"Thein Hlyan Shwe Sin Mining  Co., Ltd ",production,,50:50,9.10.2014,8.10.2015,Gold,0.0809,Sagaing,
0066/2014,"Win Thiri Kyaw Mining Co., Ltd",production,,50:50,13.2.2015,12.2.2016,Gold,0.0809,Sagaing,
0250/2014,"Lin Khant  Kyaw Co., Ltd ",production,,50:50,17.9.2014,16.9.2015,Gold,0.0809,Sagaing,
0078/2014,"Golden Brother Unity Mining Co.,Ltd",production,,50:50,4.3.2015,3.3.2016,Gold,0.0809,Sagaing,
0113/2014,"Nature Strength  Co., Ltd",production,,50:50,26.3.2014,25.3.2015,Gold,0.0809,Sagaing,
0125/2014,"Haw Nan Htike Co., Ltd",production,,50:50,2.4.2014,1.4.2015,Gold,0.0809,Sagaing,
0278/2014,"Haw Nan Htike Co., Ltd",production,,50:50,26.11.2014,25.11.2015,Gold,0.0809,Sagaing,
0132/2014,"Toe Kywe Co., Ltd",production,,50:50,9.4.2014,8.4.2015,Gold,0.0809,Sagaing,
0177/2014,"Min Thiha Aung Co., Ltd",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Sagaing,
0271/2014,"Min Thiha Aung Co., Ltd",production,,50:50,5.11.2014,4.11.2015,Gold,0.0809,Sagaing,
0137/2014,"Pyi Taw Tun Co.,Ltd",production,,50:50,30.4.2014,29.4.2015,Gold,0.0809,Sagaing,
0183/2014,"Shwe Phyo Thisar Mandine Mining Co., Ltd",production,,50:50,6.6.2014,5.6.2015,Gold,0.0809,Sagaing,
0242/2014,"Shwe Phyo Thisar Mandine Mining Co., Ltd",production,,50:50,17.9.2014,16.9.2015,Gold,0.0809,Sagaing,
0138/2014,"URU Myitar Co., Ltd",production,,50:50,30.4.2014,29.4.2015,Gold,0.0809,Sagaing,
0188/2014,"Myat Htet Ko Co.,Ltd",production,,50:50,11.6.2014,10.6.2015,Gold,0.0809,Sagaing,
0195/2014,"Zayar Thaung Co., Ltd",production,,50:50,18.6.2014,17.6.2015,Gold,0.0809,Sagaing,
0135/2014,"Myint And Kyu Mining Co.,Ltd",production,,50:50,9.4.2014,8.4.2015,Gold,0.0809,Sagaing,
0136/2014,"Myint And Kyu Mining Co.,Ltd",production,,50:50,9.4.2014,8.4.2015,Gold,0.0809,Sagaing,
0143/2014,"Ngwe La Won Thar Mining Co.,Ltd",production,,50:50,14.5.2014,13.5.2015,Gold,0.0809,Sagaing,
0019/2015,"Ngwe La Won Thar Mining Co.,Ltd",production,,50:50,21.1.2015,20.1.2016,Gold,0.0809,Sagaing,
0186/2014,"Bo Myint Min Zaw Co.,Ltd",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Sagaing,
0203/2014,"Yadanar Aung Pan Co.,Ltd",production,,50:50,18.6.2014,17.6.2015,Gold,0.0809,Sagaing,
0207/2014,"Pyi Chit Thar Mining Co., Ltd",production,,50:50,2.7.2014,1.7.2015,Gold,0.0809,Sagaing,
0214/2014,"Tun Myint Myat Aung Co.,Ltd",production,,50:50,30.7.2014,29.7.2015,Gold,0.0809,Sagaing,
0247/2014,"Shwe Sin Tun (Nant Taw) Mining Co.,Ltd",production,,50:50,17.9.2014,16.9.2015,Gold,0.0809,Sagaing,
0239/2014,"Exploration Earth Myanmar Co., Ltd",production,,50:50,3.9.2014,2.9.2015,Gold,0.0809,Sagaing,
0219/2014,"M.I.G Co., Ltd",production,,50:50,11.6.2014,10.6.2015,Gold,0.0809,Sagaing,
0054/2015,"M.I.G Co., Ltd",production,,50:50,11.2.2015,10.2.2016,Gold,0.0809,Sagaing,
0057/2015,"M.I.G Co., Ltd",production,,50:50,19.2.2015,18.2.2016,Gold,0.0809,Sagaing,
0257/2014,"Aung Khant Swan Co.,Ltd",production,,50:50,9.10.2014,8.10.2015,Gold,0.0809,Sagaing,
0267/2014,"Marga Shwe Taung Co., Ltd",production,,50:50,15.10.2014,14.10.2015,Gold,0.0809,Sagaing,
0296/2014,"Yadanar Kyi Mar Aung Mining Co.,Ltd",production,,50:50,24.12.2014,23.12.2015,Gold,0.0809,Sagaing,
0254/2014,"Gold Seven Star Co., Ltd",production,,50:50,1.10.2014,30.9.2015,Gold,0.0809,Sagaing,
0272/2014,"Soe Myat Yadanar Mining Co.,Ltd",production,,50:50,5.11.2014,4.11.2015,Gold,0.0809,Sagaing,
0270/2014,"Thalar Moe Nyunt Co.,Ltd",production,,50:50,5.11.2014,4.11.2015,Gold,0.0809,Sagaing,
0205/2014,"Shwe Pyae Maung Mining Co.,Ltd",production,,50:50,2.7.2014,1.7.2015,Gold,0.0809,Sagaing,
0275/2014,"Pyi Pyo San Mining Co., Ltd",production,,50:50,21.11.2014,20.11.2015,Gold,0.0809,Sagaing,
0298/2014,"Shwe Toe Hlyan Co., Ltd",production,,50:50,24.12.2014,23.12.2015,Gold,0.0809,Sagaing,
0287/2014,"Aung Shwe Sin Myat Co., Ltd",production,,50:50,10.12.2014,9.12.2015,Gold,0.0809,Sagaing,
0015/2015,"Shwe Zayar Pubic Co., Ltd",production,,50:50,15.1.2015,14.1.2016,Gold,0.0809,Sagaing,
0016/2015,"Shwe Zayar Pubic Co., Ltd",production,,50:50,15.1.2015,14.1.2016,Gold,0.0809,Sagaing,
0297/2014,"Placer Gold Mining Co.,Ltd",production,,50:50,24.12.2014,23.12.2015,Gold,0.0809,Sagaing,
0196/2013,"Thiri Yadanar Toe Co.,Ltd",production,,50:50,30.10.2013,29.10.2015,Gold,0.0809,Sagaing,
0009/2015,"Otya Shwe Sin Co., Ltd",production,,50:50,7.1.2015,6.1.2016,Gold,0.0809,Sagaing,
0010/2015,"Otya Shwe Sin Co., Ltd",production,,50:50,7.1.2015,6.1.2016,Gold,0.0809,Sagaing,
0065/2015,"Nyunt and Son Co., Ltd",production,,50:50,12.3.2015,11.3.2016,Gold,0.0809,Sagaing,
0059/2015,"Yu Thanlar Co., Ltd",production,,50:50,26.2.2015,25.2.2016,Gold,0.0809,Sagaing,
0060/2015,"San Pyae Thein Co., Ltd",production,,50:50,26.2.2015,25.2.2016,Gold,0.0809,Sagaing,
0066/2015,"Professional Co., Ltd",production,,50:50,12.3.2015,11.3.2016,Gold,0.0809,Sagaing,
0064/2015,"Than Shwe Ye Aung Co., Ltd",production,,50:50,12.3.2015,11.3.2016,Gold,0.0809,Sagaing,
0078/2015,"Zaw Hein Thant Co.,Ltd",production,,50:50,18.3.2015,17.3.2016,Gold,0.0809,Sagaing,
0176//2013,"Tin Soe Tun Mining Co.,Ltd",production,,50:50,2.10.2013,1.10.2015,Gold,0.0809,Sagaing,
0290/2009,"Aye Aye Khaing Mining Co., Ltd.",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Sagaing,
0235/2014,"Cho Group Manufacturing Co., Ltd",production,,50:50,27.8.2014,26.8.2015,Gold,0.0809,Sagaing,
0300/2014,"Kan Tar ya Seinn Mining Co., Ltd",production,,50:50,24.12.2014,23.12.2015,Gold,0.0809,Sagaing,
0061/2015,"Kan Tar ya Seinn Mining Co., Ltd",production,,50:50,5.3.2015,4.3.2016,Gold,0.0809,Sagaing,
0006/2015,"Awzar Shwe Pyae Mining Co., Ltd",production,,50:50,7.1.2015,6.1.2016,Gold,0.0809,Sagaing,
0007/2015,"Awzar Shwe Pyae Mining Co., Ltd",production,,50:50,7.1.2015,6.1.2016,Gold,0.0809,Sagaing,
0008/2015,"Awzar Shwe Pyae Mining Co., Ltd",production,,50:50,7.1.2015,6.1.2016,Gold,0.0809,Sagaing,
0069/2015,"Aung Zaw Htoo Hein Co., Ltd",production,,50:50,12.3.2015,11.3.2016,Gold,0.0809,Sagaing,
0859/2010,"Myanmar Shan Kyi Lone Co., Ltd",production,,50:50,24.12.2010,23.12.2015,Gold,0.0809,Sagaing,
0860/2010,"Myanmar Shan Kyi Lone Co., Ltd",production,,50:50,24.12.2010,23.12.2015,Gold,0.0809,Sagaing,
0051/2014,"Shwe La Wyaing Manufacturing Co., Ltd",production,,50:50,30.2.2014,29.12.2015,Gold,0.0809,Sagaing,
0131/2014,"Phyo Than Co., Ltd",production,,50:50,4.3.2014,3.3.2016,Gold,0.0809,Sagaing,
0012/2015,"Zike Shane Export and Import Co.,Ltd",production,,50:50,7.1.2015,6.1.2016,Gold,0.0809,Sagaing,
0104/2014,"Shwe Sin Naing Aung Co., Ltd",production,,50:50,4.3.2014,3.3.2016,Gold,0.0809,Sagaing,
0198/2014,"San Oo Lwin Mining Co.,Ltd",production,,50:50,25.6.2014,24.6.2015,Gold,0.0809,Sagaing,
0134/2014,"Shwe Yetkha Co., Ltd",production,,50:50,9.4.2014,8.4.2015,Gold,0.0809,Sagaing,
0288/2014,"Aung Khant Swan Co.,Ltd",production,,50:50,10.12.2014,9.12.2015,Gold,0.0809,Sagaing,
0124/2014,"Shwe Pyae Thein Co.,Ltd",production,,50:50,9.4.2014,8.4.2015,Gold,0.0809,Sagaing,
0161/2014,"Shwe Martar Mining Co.,Ltd",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Sagaing,
0243/2014,"Shwe Pyi Kyaw Co., Ltd",production,,50:50,17.9.2014,16.9.2015,Gold,0.0809,Sagaing,
0141/2012,"Min Win Takhun Co., Ltd",production,,50:50,20.8.2012,19.8.2015,Gold,0.0809,Sagaing,
0210/2013,"Anetga Yadanar Aung Mining Co., Ltd.",production,,50:50,26.11.2013,25.11.2015,Gold,0.0809,Taninthayi,
0395/2011,"Golden Target Mining Co.,Ltd",production,,50:50,7.12.2011,6.12.2015,Gold,0.0809,Bago,
0154/2014,"Shwe Khit Toe Tat Yae Mining Co., Ltd",production,,50:50,9.4.2011,8.4.2015,Gold,0.0809,Bago,
0293/2014,"Shwe Pyi San Yar Co., Ltd",production,,50:50,17.12.2014,16.12.2015,Gold,0.0809,Bago,
0307/2014,"L Do War Htoo Co.,Ltd",production,,50:50,31.12.2014,30.12.2015,Gold,0.0809,Bago,
0239/2011,"Future Engineering & Gold Mining Co., Ltd.",production,,50:50,25.2.2011,24.2.2016,Gold,0.0809,Mandalay,
0140/2011,"Future Engineering & Gold Mining Co., Ltd.",production,,50:50,25.2.2011,24.2.2016,Gold,0.0809,Mandalay,
1079/2013,"Future Engineering & Gold Mining Co., Ltd.",production,,50:50,22.10.2013,21.10.2015,Gold,0.0809,Mandalay,
0180/2013,"Future Engineering & Gold Mining Co., Ltd.",production,,50:50,22.10.2013,21.10.2015,Gold,0.0809,Mandalay,
0035/2011,"Shwe Pyi Thar Gold Production & Refining Co., Ltd.",production,,50:50,18.1.2011,17.1.2016,Gold,0.0809,Mandalay,
0036/2011,"Shwe Pyi Thar Gold Production & Refining Co., Ltd.",production,,50:50,18.1.2011,17.1.2016,Gold,0.0809,Mandalay,
0161/2012,"Shwe Pyi Thar Gold Production & Refining Co., Ltd.",production,,50:50,30.8.2012,29.8.2015,Gold,0.0809,Mandalay,
1062/2012,"Shwe Pyi Thar Gold Production & Refining Co., Ltd.",production,,50:50,30.8.2012,29.8.2015,Gold,0.0809,Mandalay,
0078/2011,"Shwe Wah Taung Co., Ltd.",production,,50:50,18.1.2011,17.1.2016,Gold,0.0809,Mandalay,
1232/2011,"Shwe Wah Taung Co., Ltd.",production,,50:50,25.2.2011,24.2.2016,Gold,0.0809,Mandalay,
0187/2011,"Shwe Wah Taung Co., Ltd.",production,,50:50,24.3.2011,23.3.2016,Gold,0.0809,Mandalay,
0154/2011,"Myanmar Golden Point Family Co., Ltd.",production,,50:50,7.2.2011,6.2.2016,Gold,0.0809,Mandalay,
0155/2011,"Myanmar Golden Point Family Co., Ltd.",production,,50:50,7.2.2011,6.2.2016,Gold,0.0809,Mandalay,
0156/2011,"Myanmar Golden Point Family Co., Ltd.",production,,50:50,7.2.2011,6.2.2016,Gold,0.0809,Mandalay,
0157/2011,"Myanmar Golden Point Family Co., Ltd.",production,,50:50,7.2.2011,6.2.2016,Gold,0.0809,Mandalay,
0158/2011,"Myanmar Golden Point Family Co., Ltd.",production,,50:50,7.2.2011,6.2.2016,Gold,0.0809,Mandalay,
0159/2011,"Myanmar Golden Point Family Co., Ltd.",production,,50:50,7.2.2011,6.2.2016,Gold,0.0809,Mandalay,
0198/2013,"Myanmar Golden Point Family Co., Ltd.",production,,50:50,24.11.2013,20.11.2015,Gold,0.0809,Mandalay,
0199/2013,"Myanmar Golden Point Family Co., Ltd.",production,,50:50,24.11.2013,20.11.2015,Gold,0.0809,Mandalay,
0200/2013,"Myanmar Golden Point Family Co., Ltd.",production,,50:50,24.11.2013,20.11.2015,Gold,0.0809,Mandalay,
0201/2013,"Myanmar Golden Point Family Co., Ltd.",production,,50:50,24.11.2013,20.11.2015,Gold,0.0809,Mandalay,
0221/2011,"Eternal Mining Co.,Ltd",production,,50:50,25.2.2011,24.2.2016,Gold,0.0809,Mandalay,
0223/2011,"Eternal Mining Co.,Ltd",production,,50:50,25.2.2011,24.2.2016,Gold,0.0809,Mandalay,
0224/2011,"Eternal Mining Co.,Ltd",production,,50:50,25.2.2011,24.2.2016,Gold,0.0809,Mandalay,
0228/2011,"Eternal Mining Co.,Ltd",production,,50:50,25.2.2011,24.2.2016,Gold,0.0809,Mandalay,
0229/2011,"Eternal Mining Co.,Ltd",production,,50:50,25.2.2011,24.2.2016,Gold,0.0809,Mandalay,
0124/2012,"Shwe Su Su Than Mining Co., Ltd.",production,,50:50,8.8.2012,7.8.2015,Gold,0.0809,Mandalay,
0034/2012,"Shwe Thein Than Kabar Mineral Manufacturing Co., Ltd.",production,,50:50,11.1.2012,10.1.2016,Gold,0.0809,Mandalay,
0053/2012,"Shwe Thein Than Kabar Mineral Manufacturing Co., Ltd.",production,,50:50,11.1.2012,10.1.2016,Gold,0.0809,Mandalay,
0163/2012,"Shwe Thein Than Kabar Mineral Manufacturing Co., Ltd.",production,,50:50,30.8.2012,29.8.2015,Gold,0.0809,Mandalay,
0033/2012,"Kyaw Soe Ya Mining & Production Co., Ltd.",production,,50:50,10.1.2012,9.1.2016,Gold,0.0809,Mandalay,
0121/2013,"Kyaw Soe Ya Mining & Production Co., Ltd.",production,,50:50,19.6.2013,18.6.2015,Gold,0.0809,Mandalay,
0390/2011,"Koe Kant Shwe Ngar Co.,Ltd",production,,50:50,5.12.2011,4.12.2015,Gold,0.0809,Mandalay,
0391/2011,"Koe Kant Shwe Ngar Co.,Ltd",production,,50:50,5.12.2011,4.12.2015,Gold,0.0809,Mandalay,
0392/2011,"Koe Kant Shwe Ngar Co.,Ltd",production,,50:50,5.12.2011,4.12.2015,Gold,0.0809,Mandalay,
0393/2011,"Koe Kant Shwe Ngar Co.,Ltd",production,,50:50,5.12.2011,4.12.2015,Gold,0.0809,Mandalay,
0401/2011,"For Luck International Co., Ltd.",production,,50:50,5.12.2011,4.12.2015,Gold,0.0809,Mandalay,
0402/2011,"For Luck International Co., Ltd.",production,,50:50,5.12.2011,4.12.2015,Gold,0.0809,Mandalay,
0127/2012,"Shwe Than Danan Co.,Ltd",production,,50:50,5.12.2012,4.12.2015,Gold,0.0809,Mandalay,
0143/2012,"Shwe Chaung Gyi Mining Co.,Ltd",production,,50:50,20.8.2012,18.8.2015,Gold,0.0809,Mandalay,
0122/2012,"G.D.Roc Co., Ltd.",production,,50:50,8.8.2012,7.8.2015,Gold,0.0809,Mandalay,
0123/2012,"G.D.Roc Co., Ltd.",production,,50:50,8.8.2012,7.8.2015,Gold,0.0809,Mandalay,
0189/2012,"Ye Htut Kyaw Co.,Ltd",production,,50:50,2.10.2012,1.10.2015,Gold,0.0809,Mandalay,
0222/2012,"Sixteen Star Co.,Ltd",production,,50:50,8.11.2012,7.11.2015,Gold,0.0809,Mandalay,
0010/2013,"Aung Myittar Shin Mining Co.,Ltd",production,,50:50,2.1.2013,1.1.2016,Gold,0.0809,Mandalay,
0003/2013,"Southern Value Mining Co.,Ltd",production,,50:50,12.12.2013,11.12.2015,Gold,0.0809,Mandalay,
0002/2013,"Shwe Taung Myint Moe Tagon  Co., Ltd",production,,50:50,28.12.2013,27.12.2015,Gold,0.0809,Mandalay,
0029/2013,"Myanmar Kyin Sein Co.,Ltd",production,,50:50,30.1.2013,29.1.2016,Gold,0.0809,Mandalay,
0030/2013,"Myanmar Kyin Sein Co.,Ltd",production,,50:50,30.1.2013,29.1.2016,Gold,0.0809,Mandalay,
0031/2013,"Myanmar Kyin Sein Co.,Ltd",production,,50:50,30.1.2013,29.1.2016,Gold,0.0809,Mandalay,
0032/2013,"Myanmar Kyin Sein Co.,Ltd",production,,50:50,30.1.2013,29.1.2016,Gold,0.0809,Mandalay,
0033/2013,"Myanmar Kyin Sein Co.,Ltd",production,,50:50,30.1.2013,29.1.2016,Gold,0.0809,Mandalay,
0034/2013,"Phwint Phyo Thit Co.,Ltd",production,,50:50,6.2.2013,5.2.2016,Gold,0.0809,Mandalay,
0035/2013,"Phwint Phyo Thit Co.,Ltd",production,,50:50,6.2.2013,5.2.2016,Gold,0.0809,Mandalay,
0072/2013,"Myanmar Shwe Toe Pwar Mann Mining Co.,Ltd",production,,50:50,3.4.2013,2.4.2015,Gold,0.0809,Mandalay,
0093/2013,"Shwe Mi Khin Taung Mining Co.,Ltd",production,,50:50,3.4.2013,2.4.2016,Gold,0.0809,Mandalay,
0074/2014,"Yadanar Tha Khin Mining Co.,Ltd",production,,50:50,28.2.2014,27.2.2016,Gold,0.0809,Mandalay,
0171/2014,"Yadanar Aung Taw Mu Mining Co., Ltd.",production,,50:50,20.3.2014,19.3.2016,Gold,0.0809,Mandalay,
0172/2014,"Yadanar Aung Taw Mu Mining Co., Ltd.",production,,50:50,20.3.2014,19.3.2016,Gold,0.0809,Mandalay,
0173/2014,"Yadanar Aung Taw Mu Mining Co., Ltd.",production,,50:50,20.3.2014,19.3.2016,Gold,0.0809,Mandalay,
0174/2014,"Yadanar Aung Taw Mu Mining Co., Ltd.",production,,50:50,20.3.2014,19.3.2016,Gold,0.0809,Mandalay,
0028/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0029/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
