Code/Ref,License holder,Type of License,Date of application,PSC ratio,Date of award,Expiry date,Commodity ,Area (Km2),Location (Region),Coordinates of the license area
0030/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0031/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0032/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0033/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0034/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0035/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0036/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0037/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0038/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0039/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0040/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0041/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0042/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0043/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0044/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0045/2015,Myanmar Economic Holding Ltd,production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Mandalay,
0190/2014,"Yadanar Moe Myay Mining Co., Ltd",production,,50:50,6.6.2014,5.6.2015,Gold,0.0809,Mandalay,
0191/2014,"Yadanar Moe Myay Mining Co., Ltd",production,,50:50,6.6.2014,5.6.2015,Gold,0.0809,Mandalay,
0192/2014,"Yadanar Moe Myay Mining Co., Ltd",production,,50:50,6.6.2014,5.6.2015,Gold,0.0809,Mandalay,
0036/2008,"Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",production,,50:50,1.12.2008,30.11.2015,Gold,0.0809,Mandalay,
0302/2009,"Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Mandalay,
0305/2009,"Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Mandalay,
0306/2009,"Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Mandalay,
0087/2012,"Htoon Shwe Sin Mining Co., Ltd.",production,,50:50,27.4.2012,26.4.2015,Gold,0.0809,Mandalay,
0088/2012,"Htoon Shwe Sin Mining Co., Ltd.",production,,50:50,27.4.2012,26.4.2015,Gold,0.0809,Mandalay,
0089/2012,"Htoon Shwe Sin Mining Co., Ltd.",production,,50:50,27.4.2012,26.4.2015,Gold,0.0809,Mandalay,
0134/2012,"Htoon Shwe Sin Mining Co., Ltd.",production,,50:50,20.8.2012,19.8.2015,Gold,0.0809,Mandalay,
0135/2012,"Htoon Shwe Sin Mining Co., Ltd.",production,,50:50,20.8.2012,19.8.2015,Gold,0.0809,Mandalay,
0295/2009,"Htat Yee Linn Mining & Refinery Co., Ltd",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Mandalay,
0296/2009,"Htat Yee Linn Mining & Refinery Co., Ltd",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Mandalay,
0297/2009,"Htat Yee Linn Mining & Refinery Co., Ltd",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Mandalay,
0298/2009,"Htat Yee Linn Mining & Refinery Co., Ltd",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Mandalay,
0299/2009,"Htat Yee Linn Mining & Refinery Co., Ltd",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Mandalay,
0300/2009,"Htat Yee Linn Mining & Refinery Co., Ltd",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Mandalay,
0077/2011,"Htat Yee Linn Mining & Refinery Co., Ltd",production,,50:50,18.1.2011,17.1.2016,Gold,0.0809,Mandalay,
0303/2009,"Aung Htun Linn Shein Win Mining & Refinery Co., Ltd",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Mandalay,
0304/2009,"Aung Htun Linn Shein Win Mining & Refinery Co., Ltd",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Mandalay,
0279/2011,"Aung Htun Linn Shein Win Mining & Refinery Co., Ltd",production,,50:50,24.3.2011,23.3.2016,Gold,0.0809,Mandalay,
0280/2011,"Aung Htun Linn Shein Win Mining & Refinery Co., Ltd",production,,50:50,24.3.2011,23.3.2016,Gold,0.0809,Mandalay,
0281/2011,"Aung Htun Linn Shein Win Mining & Refinery Co., Ltd",production,,50:50,24.3.2011,23.3.2016,Gold,0.0809,Mandalay,
0282/2011,"Aung Htun Linn Shein Win Mining & Refinery Co., Ltd",production,,50:50,24.3.2011,23.3.2016,Gold,0.0809,Mandalay,
0097/2009,"For Luck International Co., Ltd.",production,,50:50,14.7.2009,13.7.2015,Gold,0.0809,Mandalay,
0156/2099,"Shwe Taung Nyunt Co., Ltd.",production,,50:50,4.9.2009,3.9.2015,Gold,0.0809,Mandalay,
0617/2010,"Shwe Taung Nyunt Co., Ltd.",production,,50:50,29.9.2010,28.9.2015,Gold,0.0809,Mandalay,
0618/2010,"Shwe Taung Nyunt Co., Ltd.",production,,50:50,29.9.2010,28.9.2015,Gold,0.0809,Mandalay,
0202/2012,"Shwe Taung Nyunt Co., Ltd.",production,,50:50,22.10.2012,21.10.2015,Gold,0.0809,Mandalay,
0048/2009,"Pyi Sone Aung Mining Co., Ltd.",production,,50:50,13.3.2009,12.3.2016,Gold,0.0809,Mandalay,
0094/2012,"Pyi Sone Aung Mining Co., Ltd.",production,,50:50,27.4.2012,26.4.2015,Gold,0.0809,Mandalay,
0095/2012,"Pyi Sone Aung Mining Co., Ltd.",production,,50:50,27.4.2012,26.4.2015,Gold,0.0809,Mandalay,
0096/2012,"Pyi Sone Aung Mining Co., Ltd.",production,,50:50,27.4.2012,26.4.2015,Gold,0.0809,Mandalay,
0386/2011,"Pyi Sone Aung Mining Co., Ltd.",production,,50:50,1.12.2011,30.11.2015,Gold,0.0809,Mandalay,
0387/2011,"Pyi Sone Aung Mining Co., Ltd.",production,,50:50,1.12.2011,30.11.2015,Gold,0.0809,Mandalay,
0011/2012,"Pyi Sone Aung Mining Co., Ltd.",production,,50:50,3.2.2012,2.2.2016,Gold,0.0809,Mandalay,
0115/2012,"Pyi Sone Aung Mining Co., Ltd.",production,,50:50,28.6.2012,27.6.2015,Gold,0.0809,Mandalay,
0116/2012,"Pyi Sone Aung Mining Co., Ltd.",production,,50:50,28.6.2012,27.6.2015,Gold,0.0809,Mandalay,
0117/2012,"Pyi Sone Aung Mining Co., Ltd.",production,,50:50,28.6.2012,27.6.2015,Gold,0.0809,Mandalay,
0098/2009,"Yadanar Shwe Yee Win Mining Co., Ltd.",production,,50:50,14.7.2009,13.7.2015,Gold,0.0809,Mandalay,
0099/2009,"Yadanar Shwe Yee Win Mining Co., Ltd.",production,,50:50,14.7.2009,13.7.2015,Gold,0.0809,Mandalay,
0070/2011,"Theiddi Aung Shwe Moe Mining Co., Ltd",production,,50:50,18.1.2011,17.1.2016,Gold,0.0809,Mandalay,
0074/2011,"Theiddi Aung Shwe Moe Mining Co., Ltd",production,,50:50,18.1.2011,17.1.2016,Gold,0.0809,Mandalay,
0160/2011,"Myanmar Golden Point Family Co., Ltd.",production,,50:50,7.2.2011,6.2.2016,Gold,0.0809,Mandalay,
0209/2014,"Shwe Taung Nyunt Co., Ltd.",production,,50:50,17.7.2014,16.7.2015,Gold,0.0809,Mandalay,
0619/2010,"Aung La Pyae Co., Ltd",production,,50:50,29.9.2010,28.9.2015,Gold,0.0809,Mandalay,
0621/2010,"Aung La Pyae Co., Ltd",production,,50:50,29.9.2010,28.9.2015,Gold,0.0809,Mandalay,
0210/2014,"Aung La Pyae Co., Ltd",production,,50:50,17.7.2014,16.7.2015,Gold,0.0809,Mandalay,
0634/2010,"Aung Ko Thu Mining Co., Ltd.",production,,50:50,29.9.2010,28.9.2015,Gold,0.0809,Mandalay,
0840/2010,"Tun Thiri Yadanar Mining Co., Ltd.",production,,50:50,24.12.2010,23.12.2015,Gold,0.0809,Mandalay,
0841/2010,"Tun Thiri Yadanar Mining Co., Ltd.",production,,50:50,24.12.2010,23.12.2015,Gold,0.0809,Mandalay,
0842/2010,"Yadanar Pyae Phyo Aung Mining Co., Ltd.",production,,50:50,24.12.2010,23.12.2015,Gold,0.0809,Mandalay,
0879/2010,"Yadanar Zayar Mining & Manufacturing Co., Ltd.",production,,50:50,24.12.2010,23.12.2015,Gold,0.0809,Mandalay,
0278/2011,"Shwe Thant Oo Co., Ltd.",production,,50:50,24.3.2011,23.3.2016,Gold,0.0809,Mandalay,
0196/2010,"Pyi Thar Naing Co., Ltd.",production,,50:50,25.2.2010,24.2.2016,Gold,0.0809,Mandalay,
0197/2010,"Pyi Thar Naing Co., Ltd.",production,,50:50,25.2.2010,24.2.2016,Gold,0.0809,Mandalay,
0230/2011,"Eternal Mining Co., Ltd",production,,50:50,25.2.2010,24.2.2016,Gold,0.0809,Mandalay,
0044/2012,"For Luck International Co., Ltd.",production,,50:50,10.2.2012,9.2.2016,Gold,0.0809,Mandalay,
0069/2012,"Yadanar Shwe Poun Mining  Co., Ltd.",production,,50:50,15.2.2012,14.2.2016,Gold,0.0809,Mandalay,
0074/2012,"Yadanar Shwe Poun Mining  Co., Ltd.",production,,50:50,15.2.2012,14.2.2016,Gold,0.0809,Mandalay,
0075/2012,"Htoon Shwe Sin Mining Co., Ltd.",production,,50:50,15.2.2012,14.2.2016,Gold,0.0809,Mandalay,
0076/2012,"Yadanar Shwe Pone  Co., Ltd.",production,,50:50,15.2.2012,14.2.2016,Gold,0.0809,Mandalay,
0077/2012,"Yadanar Shwe Pone  Co., Ltd.",production,,50:50,15.2.2012,14.2.2016,Gold,0.0809,Mandalay,
0026/2013,"Yadanar Shwe Pone  Co., Ltd.",production,,50:50,13.2.2013,12.2.2016,Gold,0.0809,Mandalay,
0027/2013,"Yadanar Shwe Pone  Co., Ltd.",production,,50:50,13.2.2013,12.2.2016,Gold,0.0809,Mandalay,
0277/2011,"Naing Myint Mo Co., Ltd",production,,50:50,24.3.2011,23.3.2016,Gold,0.0809,Mandalay,
0090/2012,"Shwe La Win Co., Ltd.",production,,50:50,27.4.2012,26.4.2015,Gold,0.0809,Mandalay,
0091/2012,"Shwe La Win Co., Ltd.",production,,50:50,27.4.2012,26.4.2015,Gold,0.0809,Mandalay,
0092/2012,"Thein Than Kywe Wa Mining Co., Ltd",production,,50:50,27.4.2012,26.4.2015,Gold,0.0809,Mandalay,
0093/2012,"Tha Pyay Aung (Mogoke) Co., Ltd.",production,,50:50,27.4.2012,26.4.2015,Gold,0.0809,Mandalay,
0164/2012,"Myanmar Yadanar Aung Zabu MiningCo.,Ltd",production,,50:50,5.9.2012,4.9.2015,Gold,0.0809,Mandalay,
0082/2013,"Mandalar Myint Family Industrial Co., Ltd",production,,50:50,22.4.2013,21.4.2015,Gold,0.0809,Mandalay,
0107/2013,"Mandalar Myint Family Industrial Co., Ltd",production,,50:50,22.4.2013,21.4.2015,Gold,0.0809,Mandalay,
0091/2013,"May Po Mining Co., Ltd",production,,50:50,9.5.2013,8.5.2015,Gold,0.0809,Mandalay,
0120/2014,"Star Blue Co.,Ltd",production,,50:50,26.3.2014,25.3.2015,Gold,0.0809,Mandalay,
0817/2014,"Aung Shwe Htun Co., Ltd. ",production,,50:50,6.6.2014,5.6..2015,Gold,0.0809,Mandalay,
0211/2014,"Tun Thiri Yadanar Mining Co., Ltd.",production,,50:50,24.7.2014,23.7.2015,Gold,0.0809,Mandalay,
0212/2014,"Tun Thiri Yadanar Mining Co., Ltd.",production,,50:50,24.7.2014,23.7.2015,Gold,0.0809,Mandalay,
0013/2014,"Tun Thiri Yadanar Mining Co., Ltd.",production,,50:50,24.7.2014,23.7.2015,Gold,0.0809,Mandalay,
0221/2014,"Han Lin Star Co., Ltd.",production,,50:50,19.8.2014,18.8.2015,Gold,0.0809,Mandalay,
0220/2014,"Ngwe Hnin Khaing Co.,Ltd",production,,50:50,19.8.2014,18.8.2015,Gold,0.0809,Mandalay,
0286/2014,"Hein Htoo Sit Development Co.,Ltd",production,,50:50,3.12.2014,2.12.2015,Gold,0.0809,Mandalay,
0251/2014,"Htoon Shwe Sin Mining Co., Ltd.",production,,50:50,24.9.2014,23.9.2015,Gold,0.0809,Mandalay,
0252/2014,"Htoon Shwe Sin Mining Co., Ltd.",production,,50:50,24.9.2014,23.9.2015,Gold,0.0809,Mandalay,
0295/2014,"Yarzamin Shwe Mining Co.,Ltd",production,,50:50,17.12.2014,16.12.2015,Gold,0.0809,Mandalay,
0070/2015,"Shwe Taung Nyunt Co., Ltd.",production,,50:50,12.3.2015,11.3.2016,Gold,0.0809,Mandalay,
0075/2014,"Htoon Shwe Sin Mining Co., Ltd.",production,,50:50,18.3.2014,17.3.2016,Gold,0.0809,Mandalay,
0076/2015,"Htoon Shwe Sin Mining Co., Ltd.",production,,50:50,18.3.2015,17.3.2016,Gold,0.0809,Mandalay,
0209/2012,"Kathe Kwin Mining Co., Ltd",production,,50:50,12.7.2012,11.7.2015,Gold,0.0809,Mandalay,
0073/2009,"Sann Shwe Pyi Gold & Mining Co., Ltd",production,,50:50,27.5.2009,26.5.2015,Gold,0.0809,Mandalay,
0074/2009,"Sann Shwe Pyi Gold & Mining Co., Ltd",production,,50:50,27.5.2009,26.5.2015,Gold,0.0809,Mandalay,
0087/2009,"Sann Shwe Pyi Gold & Mining Co., Ltd",production,,50:50,27.5.2009,26.5.2015,Gold,0.0809,Mandalay,
0037/2011,"Yadanar Kadae Thaik Co., Ltd",production,,50:50,18.1.2011,17.1.2016,Gold,0.0809,Mandalay,
0154/2012,"Shwe Shwe Lee Mining Co.,Ltd",production,,50:50,5.9.2012,4.9.2015,Gold,0.0809,Mandalay,
0155/2012,"Shwe Shwe Lee Mining Co.,Ltd",production,,50:50,5.9.2012,4.9.2015,Gold,0.0809,Mandalay,
0156/2012,"Shwe Shwe Lee Mining Co.,Ltd",production,,50:50,5.9.2012,4.9.2015,Gold,0.0809,Mandalay,
0157/2012,"Shwe Shwe Lee Mining Co.,Ltd",production,,50:50,5.9.2012,4.9.2015,Gold,0.0809,Mandalay,
0151/2012,"Shwe Shwe Lee Mining Co.,Ltd",production,,50:50,5.9.2012,4.9.2015,Gold,0.0809,Mandalay,
0152/2012,"Shwe Shwe Lee Mining Co.,Ltd",production,,50:50,5.9.2012,4.9.2015,Gold,0.0809,Mandalay,
0153/2012,"Shwe Shwe Lee Mining Co.,Ltd",production,,50:50,5.9.2012,4.9.2015,Gold,0.0809,Mandalay,
0266/2014,"Shwe Shwe Lee Mining Co.,Ltd",production,,50:50,15.10.2014,14.10.2015,Gold,0.0809,Mandalay,
0087/2014,"Pyi Htaung Su Thar Co., Ltd",production,,50:50,4.3.2014,3.3.2016,Gold,0.0809,Mandalay,
0088/2014,"Pyi Htaung Su Thar Co., Ltd",production,,50:50,4.3.2014,3.3.2016,Gold,0.0809,Mandalay,
0089/2014,"Pyi Htaung Su Thar Co., Ltd",production,,50:50,4.3.2014,3.3.2016,Gold,0.0809,Mandalay,
0108/2014,"Moehti Moemi Collective Small Scale Gold 
Production Entrepreneurs Co., Ltd",production,,50:50,26.3.2014,25.3.2016,Gold,0.0809,Mandalay,
0109/2014,"Moehti Moemi Collective Small Scale Gold 
Production Entrepreneurs Co., Ltd",production,,50:50,26.3.2014,25.3.2016,Gold,0.0809,Mandalay,
0110/2014,"Moehti Moemi Collective Small Scale Gold 
Production Entrepreneurs Co., Ltd",production,,50:50,26.3.2014,25.3.2016,Gold,0.0809,Mandalay,
0111/2014,"Moehti Moemi Collective Small Scale Gold 
Production Entrepreneurs Co., Ltd",production,,50:50,26.3.2014,25.3.2016,Gold,0.0809,Mandalay,
0112/2014,"Moehti Moemi Collective Small Scale Gold 
Production Entrepreneurs Co., Ltd",production,,50:50,26.3.2014,25.3.2016,Gold,0.0809,Mandalay,
0163/2014,"Ruby Dragon Mining Co.,Ltd.",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Mandalay,
0164/2014,"Ruby Dragon Mining Co.,Ltd.",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Mandalay,
0165/2014,"Ruby Dragon Mining Co.,Ltd.",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Mandalay,
0166/2014,"Ruby Dragon Mining Co.,Ltd.",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Mandalay,
0167/2014,"Ruby Dragon Mining Co.,Ltd.",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Mandalay,
0168/2014,"Ruby Dragon Mining Co.,Ltd.",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Mandalay,
0169/2014,"Ruby Dragon Mining Co.,Ltd.",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Mandalay,
0170/2014,"Ruby Dragon Mining Co.,Ltd.",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Mandalay,
0253/2014,"Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",production,,50:50,24.9.2014,23.9.2015,Gold,0.0809,Mandalay,
0254/2014,"Myauk Kyunn Thu Ma Ma Mining & Refinery Co., Ltd",production,,50:50,24.9.2014,23.9.2015,Gold,0.0809,Mandalay,
0023/2015,"Myanmar Shwe Pyi Hein Co., Ltd.",production,,50:50,21.1.2015,20.1.2016,Gold,0.0809,Mon,
0145/2012,"Shwe Gar Kyi Co.,Ltd",production,,50:50,20.8.2012,19.8.2015,Gold,0.0809,Mon,
0103/2013,"Tun Hein Hylan Co., Ltd.",production,,50:50,12.3.2013,11.3.2016,Gold,0.0809,Mon,
0150/2008,"Shwe Ninn Hmone Co.,Ltd",production,,50:50,3.7.2008,2.7.2015,Gold,0.0809,shan,
0230/2010,"Myanmar Ruby Interprise Gems & Jewellery Co., Ltd.",production,,50:50,9.4.2010,8.4.2015,Gold,0.0809,shan,
0231/2010,"Myanmar Ruby Interprise Gems & Jewellery Co., Ltd.",production,,50:50,9.4.2010,8.4.2015,Gold,0.0809,shan,
0329/2009,"Red Moundain Production Co.,Ltd",production,,50:50,29.12.2009,28.12.2015,Gold,0.0809,shan,
0330/2009,"Red Moundain Production Co.,Ltd",production,,50:50,29.12.2009,28.12.2015,Gold,0.0809,shan,
0173/2013,"Ngwe Taung Min  Co., Ltd",production,,50:50,30.8.2013,29.8.2015,Gold,0.0809,shan,
0085/2013,"Phyaungt Phyu Pyaw Shwin Co., Ltd",production,,50:50,7.3.2013,6.3.2016,Gold,0.0809,shan,
0069/2013,"Shwe Nadi Myat Mining Co.,Ltd",production,,50:50,7.3.2013,6.3.2016,Gold,0.0809,shan,
0108/2012,"Lin Hlyan Htet Mining Co., Ltd",production,,50:50,22.5.2012,21.5.2015,Gold,0.0809,shan,
0122/2013,"Lin Hlyan Htet Mining Co., Ltd",production,,50:50,11.6.2013,10.6.2015,Gold,0.0809,shan,
0117/2013,"Aung Woon Nay Co.,Ltd",production,,50:50,19.6.2013,18.6.2015,Gold,0.0809,shan,
0118/2013,"Aung Woon Nay Co.,Ltd",production,,50:50,19.6.2013,18.6.2015,Gold,0.0809,shan,
0034/2014,"LaHu Brothers Mining Co.,Ltd",production,,50:50,15.1.2014,14.1.2016,Gold,0.0809,shan,
0049/2014,"Shwe Kyaing Tone Co.,Ltd",production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,shan,
0048/2014,"Ngwe Taung Min  Co., Ltd",production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,shan,
0079/2014,"Sai Agreculture Investment Co., Ltd",production,,50:50,4.3.2014,3.3.2015,Gold,0.0809,shan,
0080/2014,"Sai Agreculture Investment Co., Ltd",production,,50:50,4.3.2014,3.3.2015,Gold,0.0809,shan,
0289/2014,"Lin Hlyan Htet Mining Co., Ltd",production,,50:50,10.12.2014,9.12.2015,Gold,0.0809,shan,
0282/2014,"Taing Chit Min Co.,Ltd",production,,50:50,26.11.2014,25.11.2015,Gold,0.0809,shan,
0283/2014,"Taing Chit Min Co.,Ltd",production,,50:50,26.11.2014,25.11.2015,Gold,0.0809,shan,
0306/2014,"Wai Tel Mining Co., Ltd.",production,,50:50,30.12.2014,30.12.2015,Gold,0.0809,shan,
0308/2014,"Tarchilate Rock Stone Co.,Ltd",production,,50:50,30.12.2014,30.12.2015,Gold,0.0809,shan,
0309/2014,"Tarchilate Rock Stone Co.,Ltd",production,,50:50,10.12.2014,9.12.2015,Gold,0.0809,shan,
0027/2015,"Shwe Htoo San Co.,Ltd",production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,shan,
0053/2015,"Myint Oo Aung Co., Ltd.",production,,50:50,4.2.2015,3.2.2016,Gold,0.0809,shan,
0073/2015,"Hein Mytta Co., Ltd.",production,,50:50,12.3.2015,11.3.2016,Gold,0.0809,shan,
0074/2015,"Hein Mytta Co., Ltd.",production,,50:50,12.3.2015,11.3.2016,Gold,0.0809,shan,
0071/2015,"Mega Banner Co., Ltd.",production,,50:50,12.3.2015,11.3.2016,Gold,0.0809,shan,
0072/2015,"Mega Banner Co., Ltd.",production,,50:50,12.3.2015,11.3.2016,Gold,0.0809,shan,
0211/2011,"Hein Kaung Sat Mining Co., Ltd.",production,,50:50,25.2.2011,24.2.2016,Gold,0.0809,shan,
0212/2011,"Double Dragon Co., Ltd.",production,,50:50,25.2.2011,24.2.2016,Gold,0.0809,shan,
0237/2014,"Double Dragon Co., Ltd.",production,,50:50,3.9.2014,2.9.22015,Gold,0.0809,shan,
0164/2013,"Certain Manual Introduction Co.,Ltd",production,,50:50,18.9.2013,17.9.2015,Gold,0.0809,shan,
0039/2014,"Thit Sar Pan Gems  & Jewellery Co.,Ltd",production,,50:50,10.10.2014,9.10.2015,Gold,0.0809,shan,
0040/2014,"Dana Theidi Star Gems & Jewellery Co.,Ltd",production,,50:50,10.10.2014,9.10.2015,Gold,0.0809,shan,
0086/2007,"Eternal Mining Co., Ltd",production,,40:60,1.8.2007,31.7.2032,Gold,6.04,Sagaing,
19/1998,"Myanmar Golden Point Family Co., Ltd.",production,,37:63,15.10.1998,14.10.2018,Gold,21.85,Mandalay,
0051/2011,National Prosperity Gold Production Group Ltd.,production,,"Piece-rate
system",16.9.2011,15.9.2036,Gold,24.71,Mandalay,
0052/2011,"Shwe Moe Yan  Co., Ltd.",production,,"Piece-rate
system",16.9.2011,15.9.2036,Gold,34.34,Mandalay,
0002/2012,"Geo Asia Industrial and Mining Co., Ltd.",production,,"Piece-rate
system",3.12.2011,2.12.2036,Gold,27.22,Mandalay+shan,